Key,Value
0,"0.020*""experience"" + 0.020*""work"" + 0.015*""get"" + 0.015*""supply"" + 0.013*""make"" + 0.013*""role"" + 0.010*""admission"" + 0.010*""profile"" + 0.009*""online"" + 0.009*""process"""
1,"0.044*""programme"" + 0.032*""function"" + 0.022*""focusing"" + 0.020*""chose"" + 0.017*""regardless"" + 0.016*""completed"" + 0.016*""determine"" + 0.015*""visa"" + 0.015*""bigger"" + 0.015*""covered"""
2,"0.045*""people"" + 0.029*""think"" + 0.025*""company"" + 0.016*""know"" + 0.016*""go"" + 0.015*""really"" + 0.014*""even"" + 0.014*""want"" + 0.013*""say"" + 0.010*""going"""
3,"0.024*""chain"" + 0.016*""http"" + 0.013*""year"" + 0.013*""finance"" + 0.012*""manage"" + 0.011*""also"" + 0.011*""lot"" + 0.011*""engineering"" + 0.011*""level"" + 0.011*""undergrad"""
4,"0.067*""management"" + 0.023*""operation"" + 0.020*""mumbai"" + 0.020*""job"" + 0.020*""company"" + 0.018*""data"" + 0.016*""salary"" + 0.015*""xavier"" + 0.015*""managing"" + 0.013*""offered"""
5,"0.056*""program"" + 0.031*""school"" + 0.029*""top"" + 0.026*""consulting"" + 0.020*""best"" + 0.016*""want"" + 0.014*""brand"" + 0.013*""alumnus"" + 0.013*""ranking"" + 0.010*""investment"""
6,"0.034*""class"" + 0.025*""student"" + 0.023*""time"" + 0.018*""professor"" + 0.016*""pursue"" + 0.014*""get"" + 0.014*""problem"" + 0.012*""take"" + 0.012*""year"" + 0.011*""job"""
7,"0.079*""management"" + 0.064*""business"" + 0.037*""career"" + 0.032*""specialization"" + 0.027*""marketing"" + 0.018*""research"" + 0.018*""field"" + 0.016*""focus"" + 0.015*""opportunity"" + 0.014*""industry"""
8,"0.048*""hr"" + 0.025*""organisation"" + 0.024*""science"" + 0.023*""advertising"" + 0.023*""employee"" + 0.022*""public"" + 0.018*""management"" + 0.018*""policy"" + 0.016*""organizational"" + 0.016*""behavior"""
9,"0.046*""student"" + 0.044*""university"" + 0.028*""college"" + 0.025*""institute"" + 0.023*""executive"" + 0.018*""program"" + 0.017*""business"" + 0.017*""offer"" + 0.013*""various"" + 0.012*""technology"""
