Key,Value
Stanford Graduate School of Business,"(0, '0.018*""experience"" + 0.018*""skill"" + 0.015*""career"" + 0.012*""opinion"" + 0.011*""application"" + 0.010*""regardless"" + 0.010*""otherwise"" + 0.009*""life"" + 0.009*""need"" + 0.008*""student""')"
Stanford Graduate School of Business,"(1, '0.082*""salary"" + 0.073*""cost"" + 0.049*""benefit"" + 0.048*""living"" + 0.047*""disagree"" + 0.047*""total"" + 0.042*""data"" + 0.025*""operation"" + 0.023*""dive"" + 0.023*""heaven""')"
Stanford Graduate School of Business,"(2, '0.019*""stand"" + 0.019*""fit"" + 0.017*""gmat"" + 0.016*""round"" + 0.016*""data"" + 0.014*""story"" + 0.014*""desire"" + 0.012*""objective"" + 0.010*""difficult"" + 0.009*""using""')"
Stanford Graduate School of Business,"(3, '0.032*""business"" + 0.023*""sloan"" + 0.018*""entrepreneurship"" + 0.014*""student"" + 0.014*""job"" + 0.013*""course"" + 0.013*""passion"" + 0.011*""school"" + 0.010*""also"" + 0.010*""startup""')"
Stanford Graduate School of Business,"(4, '0.039*""people"" + 0.022*""management"" + 0.021*""finance"" + 0.018*""great"" + 0.017*""mit"" + 0.017*""greatly"" + 0.017*""student"" + 0.016*""top"" + 0.016*""company"" + 0.014*""say""')"
Stanford Graduate School of Business,"(5, '0.017*""people"" + 0.014*""get"" + 0.013*""remember"" + 0.012*""school"" + 0.012*""tuition"" + 0.010*""business"" + 0.010*""make"" + 0.010*""want"" + 0.009*""work"" + 0.009*""even""')"
Stanford Graduate School of Business,"(6, '0.019*""admission"" + 0.018*""application"" + 0.018*""profile"" + 0.013*""score"" + 0.013*""applicant"" + 0.012*""part"" + 0.011*""candidate"" + 0.011*""leadership"" + 0.011*""help"" + 0.010*""committee""')"
Stanford Graduate School of Business,"(7, '0.022*""friendly"" + 0.020*""case"" + 0.012*""business"" + 0.012*""class"" + 0.011*""problem"" + 0.009*""minute"" + 0.008*""section"" + 0.008*""enough"" + 0.008*""people"" + 0.007*""think""')"
Stanford Graduate School of Business,"(8, '0.034*""list"" + 0.031*""brand"" + 0.030*""finance"" + 0.030*""http"" + 0.019*""ranking"" + 0.018*""hand"" + 0.018*""work"" + 0.018*""alumnus"" + 0.018*""university"" + 0.016*""business""')"
Stanford Graduate School of Business,"(9, '0.021*""guy"" + 0.017*""admits"" + 0.014*""seat"" + 0.013*""prestige"" + 0.012*""evidence"" + 0.011*""anecdotal"" + 0.010*""dollar"" + 0.010*""match"" + 0.010*""list"" + 0.010*""saving""')"
Harvard Business School,"(0, '0.023*""top"" + 0.016*""brand"" + 0.015*""program"" + 0.015*""want"" + 0.014*""alumnus"" + 0.014*""school"" + 0.013*""student"" + 0.011*""go"" + 0.010*""experience"" + 0.009*""world""')"
Harvard Business School,"(1, '0.035*""university"" + 0.020*""student"" + 0.012*""degree"" + 0.012*""english"" + 0.010*""campus"" + 0.009*""program"" + 0.009*""quite"" + 0.008*""language"" + 0.008*""also"" + 0.008*""management""')"
Harvard Business School,"(2, '0.015*""student"" + 0.015*""business"" + 0.013*""experience"" + 0.012*""management"" + 0.011*""career"" + 0.011*""benefit"" + 0.011*""also"" + 0.010*""skill"" + 0.009*""iims"" + 0.009*""lot""')"
Harvard Business School,"(3, '0.021*""people"" + 0.019*""company"" + 0.014*""world"" + 0.012*""probably"" + 0.011*""know"" + 0.010*""work"" + 0.009*""europe"" + 0.009*""think"" + 0.008*""say"" + 0.008*""well""')"
Harvard Business School,"(4, '0.012*""case"" + 0.011*""experience"" + 0.011*""candidate"" + 0.010*""applicant"" + 0.009*""people"" + 0.009*""year"" + 0.008*""time"" + 0.008*""method"" + 0.007*""rate"" + 0.007*""work""')"
Harvard Business School,"(5, '0.026*""case"" + 0.022*""business"" + 0.022*""problem"" + 0.018*""class"" + 0.016*""law"" + 0.012*""minute"" + 0.011*""people"" + 0.009*""discussion"" + 0.009*""section"" + 0.009*""study""')"
Harvard Business School,"(6, '0.016*""business"" + 0.014*""iim"" + 0.012*""even"" + 0.011*""indian"" + 0.011*""student"" + 0.009*""people"" + 0.008*""scholarship"" + 0.007*""experience"" + 0.007*""best"" + 0.007*""campus""')"
Harvard Business School,"(7, '0.025*""case"" + 0.018*""student"" + 0.016*""brand"" + 0.013*""discussion"" + 0.012*""business"" + 0.012*""intense"" + 0.011*""class"" + 0.011*""learning"" + 0.011*""go"" + 0.010*""program""')"
Harvard Business School,"(8, '0.013*""business"" + 0.011*""people"" + 0.011*""never"" + 0.010*""think"" + 0.009*""school"" + 0.009*""day"" + 0.009*""student"" + 0.008*""get"" + 0.008*""admission"" + 0.008*""case""')"
Harvard Business School,"(9, '0.021*""business"" + 0.017*""get"" + 0.016*""student"" + 0.012*""class"" + 0.011*""gmat"" + 0.011*""best"" + 0.010*""http"" + 0.010*""also"" + 0.010*""score"" + 0.010*""finance""')"
Penn (Wharton),"(0, '0.026*""school"" + 0.025*""ivy"" + 0.016*""get"" + 0.015*""student"" + 0.010*""kid"" + 0.010*""top"" + 0.009*""think"" + 0.008*""college"" + 0.008*""even"" + 0.008*""chance""')"
Penn (Wharton),"(1, '0.048*""business"" + 0.046*""program"" + 0.028*""university"" + 0.021*""student"" + 0.021*""management"" + 0.020*""education"" + 0.017*""graduate"" + 0.017*""ivy"" + 0.016*""johnson"" + 0.014*""league""')"
Penn (Wharton),"(2, '0.012*""ivy"" + 0.008*""princeton"" + 0.007*""know"" + 0.007*""think"" + 0.007*""life"" + 0.007*""duck"" + 0.005*""mit"" + 0.005*""human"" + 0.005*""downside"" + 0.005*""beat""')"
Penn (Wharton),"(3, '0.039*""league"" + 0.032*""business"" + 0.032*""school"" + 0.029*""ivy"" + 0.020*""undergrad"" + 0.019*""excellent"" + 0.018*""graduate"" + 0.018*""well"" + 0.015*""ask"" + 0.013*""conference""')"
Penn (Wharton),"(4, '0.014*""ivy"" + 0.013*""people"" + 0.009*""work"" + 0.009*""thing"" + 0.009*""league"" + 0.007*""world"" + 0.007*""universally"" + 0.005*""school"" + 0.005*""point"" + 0.005*""give""')"
Penn (Wharton),"(5, '0.016*""ivy"" + 0.010*""essay"" + 0.010*""school"" + 0.009*""aos"" + 0.009*""student"" + 0.009*""admission"" + 0.008*""college"" + 0.007*""league"" + 0.007*""best"" + 0.006*""applicant""')"
Penn (Wharton),"(6, '0.054*""university"" + 0.026*""school"" + 0.024*""ivy"" + 0.019*""college"" + 0.011*""state"" + 0.009*""went"" + 0.009*""best"" + 0.009*""league"" + 0.009*""applicant"" + 0.008*""princeton""')"
Penn (Wharton),"(7, '0.027*""student"" + 0.023*""university"" + 0.009*""world"" + 0.007*""business"" + 0.006*""need"" + 0.006*""also"" + 0.005*""experience"" + 0.005*""career"" + 0.005*""ivy"" + 0.005*""go""')"
Penn (Wharton),"(8, '0.011*""alumnus"" + 0.010*""program"" + 0.010*""company"" + 0.009*""get"" + 0.009*""usd"" + 0.008*""business"" + 0.006*""network"" + 0.006*""work"" + 0.006*""decision"" + 0.005*""go""')"
Penn (Wharton),"(9, '0.012*""student"" + 0.010*""aid"" + 0.009*""law"" + 0.009*""firm"" + 0.009*""league"" + 0.009*""ivy"" + 0.008*""sister"" + 0.008*""going"" + 0.008*""pay"" + 0.008*""get""')"
HEC Paris,"(0, '0.033*""program"" + 0.024*""business"" + 0.021*""student"" + 0.017*""world"" + 0.017*""paris"" + 0.012*""network"" + 0.012*""best"" + 0.012*""alumnus"" + 0.009*""top"" + 0.009*""school""')"
HEC Paris,"(1, '0.019*""year"" + 0.015*""score"" + 0.014*""university"" + 0.013*""paris"" + 0.013*""institute"" + 0.012*""exam"" + 0.012*""admission"" + 0.010*""degree"" + 0.009*""management"" + 0.009*""time""')"
HEC Paris,"(2, '0.019*""job"" + 0.014*""career"" + 0.013*""engineering"" + 0.012*""get"" + 0.010*""student"" + 0.010*""business"" + 0.009*""work"" + 0.009*""college"" + 0.009*""field"" + 0.009*""management""')"
HEC Paris,"(3, '0.048*""scholarship"" + 0.017*""maybe"" + 0.016*""habit"" + 0.015*""want"" + 0.014*""program"" + 0.013*""people"" + 0.012*""chance"" + 0.010*""choose"" + 0.009*""success"" + 0.009*""spend""')"
